County,variable,value
Chesapeake city,mean_ffu_housing_units_total,4.353573397891898
Chesterfield County,mean_ffu_housing_units_total,1.1116014897545419
Clarke County,mean_ffu_housing_units_total,-3.6849140835329495
Colonial Heights city,mean_ffu_housing_units_total,NaN
Covington city,mean_ffu_housing_units_total,-13.964541730670764
Craig County,mean_ffu_housing_units_total,NaN
Culpeper County,mean_ffu_housing_units_total,3.996085837078253
Cumberland County,mean_ffu_housing_units_total,NaN
Danville city,mean_ffu_housing_units_total,3.0382581054680537
Dickenson County,mean_ffu_housing_units_total,NaN
Dinwiddie County,mean_ffu_housing_units_total,NaN
Emporia city,mean_ffu_housing_units_total,-1.505752840909091
Essex County,mean_ffu_housing_units_total,NaN
Fairfax city,mean_ffu_housing_units_total,NaN
Fairfax County,mean_ffu_housing_units_total,6.286041577620993
Falls Church city,mean_ffu_housing_units_total,NaN
Fauquier County,mean_ffu_housing_units_total,NaN
Floyd County,mean_ffu_housing_units_total,NaN
Fluvanna County,mean_ffu_housing_units_total,NaN
Franklin city,mean_ffu_housing_units_total,5.4513546798029555
Franklin County,mean_ffu_housing_units_total,-6.993196836990119
Frederick County,mean_ffu_housing_units_total,NaN
Fredericksburg city,mean_ffu_housing_units_total,7.008486575852749
Galax city,mean_ffu_housing_units_total,2.8895424836601307
Giles County,mean_ffu_housing_units_total,NaN
Gloucester County,mean_ffu_housing_units_total,0.5508365276421637
Goochland County,mean_ffu_housing_units_total,-7.780445170158543
Grayson County,mean_ffu_housing_units_total,1.0524062367793847
Greene County,mean_ffu_housing_units_total,NaN
Greensville County,mean_ffu_housing_units_total,-8.175828664799253
Halifax County,mean_ffu_housing_units_total,NaN
Hampton city,mean_ffu_housing_units_total,5.438522807113825
Hanover County,mean_ffu_housing_units_total,-2.3412249229768567
Harrisonburg city,mean_ffu_housing_units_total,NaN
Henrico County,mean_ffu_housing_units_total,NaN
Henry County,mean_ffu_housing_units_total,-7.101798401514483
Highland County,mean_ffu_housing_units_total,NaN
Hopewell city,mean_ffu_housing_units_total,NaN
Isle of Wight County,mean_ffu_housing_units_total,-2.1436662658689074
James City County,mean_ffu_housing_units_total,NaN
King and Queen County,mean_ffu_housing_units_total,NaN
King George County,mean_ffu_housing_units_total,-2.9858787122179873
King William County,mean_ffu_housing_units_total,NaN
